Army,UnitNumber,Details,Physical,HitChance,Cost,Limit,Override,HitAlive,Fire DMG,Fire Time,Bleed DMG,Bleed Time,Magic Damage,Poision DMG,Poison Time,Stun Time,Sleep Time,Confusion Time,Petrification Time,RecoverHealth,AddTempHealth,AddHealth,RecoverArmor,RecoverShield,AddArmor,AddShield
goblin,Value Attached to Unit,,Base Stat,Roll to hit,,,,,Dmg + Time,,Dmg + Time,,Dmg,,,,,,,,,,,,,
,0,Goblin Militia,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,12,,,,,,,,,,,,,,,,,,,,,,,
,,AC,14,,,,,,,,,,,,,,,,,,,,,,,
,,AR,2-1,,,,,,,,,,,,,,,,,,,,,,,
,,SH,,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,1,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_Chop,1d6,1d20+3,1,,,TRUE,,,,,,,,,,,,,,,,,,
,,skill_Barrel roll,2d6,1d20,3,,,,,,,,,,,,,,,,,,,,,
,,ability_Rally,,Free,,1,,,,,,,,,,,,,,,4,,,,,
,1,Pumpkin thrower,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,6,,,,,,,,,,,,,,,,,,,,,,,
,,AC,12,,,,,,,,,,,,,,,,,,,,,,,
,,AR,,,,,,,,,,,,,,,,,,,,,,,,
,,SH,,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,2,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,skill_PumpkinThrow,,1d20,3,,skill_PumpkinThrow,,,,,,,,,,,,,,,,,,,
,2,Goblenni,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,,,,,,,,,,,,,,,,,,,,,,,,
,,AC,,,,,,,,,,,,,,,,,,,,,,,,
,,AR,,,,,,,,,,,,,,,,,,,,,,,,
,,SH,,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
roman,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,John roman,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,12,,,,,,,,,,,,,,,,,,,,,,,
,,AC,12,,,,,,,,,,,,,,,,,,,,,,,
,,AR,,,,,,,,,,,,,,,,,,,,,,,,
,,SH,,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,ability_FlameOn,,,4,2,ability_FlameOn,,,,,,,,,,,,,,,,,,,
TEST,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,John test 1,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,9,,,,,,,,,,,,,,,,,,,,,,,
,,AC,8,,,,,,,,,,,,,,,,,,,,,,,
,,AR,7-1,,,,,,,,,,,,,,,,,,,,,,,
